SoluteName                                                                                                                       , SoluteSMILES                                      , SolventName               , SolventSMILES              , delGsolv
2-hexanone                                                                                                                       , CC(CCCC)=O                                        , nonane                    , CCCCCCCCC                  , -4.59
"3,3-dimethylbutanone                                                                                                           ", CC(C(C)=O)(C)C                                    , nonane                    , CCCCCCCCC                  , -4.19
2-heptanone                                                                                                                      , CC(CCCCC)=O                                       , nonane                    , CCCCCCCCC                  , -5.24
methylacetate                                                                                                                    , COC(C)=O                                          , nonane                    , CCCCCCCCC                  , -3.02
methylpropanoate                                                                                                                 , COC(CC)=O                                         , nonane                    , CCCCCCCCC                  , -3.5
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , nonane                    , CCCCCCCCC                  , -3.45
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , nonane                    , CCCCCCCCC                  , -4.07
methylpentanoate                                                                                                                 , COC(CCCC)=O                                       , nonane                    , CCCCCCCCC                  , -4.85
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , nonane                    , CCCCCCCCC                  , -4.69
methylhexanoate                                                                                                                  , COC(CCCCC)=O                                      , nonane                    , CCCCCCCCC                  , -5.51
pentylacetate                                                                                                                    , C(CCCC)OC(C)=O                                    , nonane                    , CCCCCCCCC                  , -5.33
ethylamine                                                                                                                       , C(C)N                                             , nonane                    , CCCCCCCCC                  , -1.98
propylamine                                                                                                                      , C(CC)N                                            , nonane                    , CCCCCCCCC                  , -2.96
butylamine                                                                                                                       , C(CCC)N                                           , nonane                    , CCCCCCCCC                  , -3.55
n-nonane                                                                                                                         , CCCCCCCCC                                         , nonane                    , CCCCCCCCC                  , -5.91
benzene                                                                                                                          , C1=CC=CC=C1                                       , nonanol                   , C(CCCCCCCC)O               , -3.82
toluene                                                                                                                          , CC1=CC=CC=C1                                      , nonanol                   , C(CCCCCCCC)O               , -4.34
ethylbenzene                                                                                                                     , C(C)C1=CC=CC=C1                                   , nonanol                   , C(CCCCCCCC)O               , -4.61
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , nonanol                   , C(CCCCCCCC)O               , -8.61
ethylamine                                                                                                                       , C(C)N                                             , nonanol                   , C(CCCCCCCC)O               , -4.02
propylamine                                                                                                                      , C(CC)N                                            , nonanol                   , C(CCCCCCCC)O               , -4.66
butylamine                                                                                                                       , C(CCC)N                                           , nonanol                   , C(CCCCCCCC)O               , -5.35
2-methoxyethanol                                                                                                                 , COCCO                                             , nonanol                   , C(CCCCCCCC)O               , -5.61
p-bromophenol                                                                                                                    , BrC1=CC=C(C=C1)O                                  , nonanol                   , C(CCCCCCCC)O               , -10.36
1-nonanol                                                                                                                        , C(CCCCCCCC)O                                      , nonanol                   , C(CCCCCCCC)O               , -9.05
n-octane                                                                                                                         , CCCCCCCC                                          , octane                    , CCCCCCCC                   , -5.28
toluene                                                                                                                          , CC1=CC=CC=C1                                      , octane                    , CCCCCCCC                   , -4.82
methanol                                                                                                                         , CO                                                , octane                    , CCCCCCCC                   , -1.29
ethanol                                                                                                                          , C(C)O                                             , octane                    , CCCCCCCC                   , -2.15
1-propanol                                                                                                                       , C(CC)O                                            , octane                    , CCCCCCCC                   , -2.76
1-butanol                                                                                                                        , C(CCC)O                                           , octane                    , CCCCCCCC                   , -3.69
1-pentanol                                                                                                                       , C(CCCC)O                                          , octane                    , CCCCCCCC                   , -4.1
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , octane                    , CCCCCCCC                   , -5.47
1-hexanol                                                                                                                        , C(CCCCC)O                                         , octane                    , CCCCCCCC                   , -4.86
o-cresol                                                                                                                         , C1(=CC=CC=C1O)C                                   , octane                    , CCCCCCCC                   , -6.16
m-cresol                                                                                                                         , C1=C(C=CC=C1O)C                                   , octane                    , CCCCCCCC                   , -5.19
p-cresol                                                                                                                         , C1=CC(=CC=C1O)C                                   , octane                    , CCCCCCCC                   , -6.19
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , octane                    , CCCCCCCC                   , -5.56
acetone                                                                                                                          , CC(=O)C                                           , octane                    , CCCCCCCC                   , -2.46
2-butanone                                                                                                                       , CC(CC)=O                                          , octane                    , CCCCCCCC                   , -3.24
2-pentanone                                                                                                                      , CC(CCC)=O                                         , octane                    , CCCCCCCC                   , -3.97
2-hexanone                                                                                                                       , CC(CCCC)=O                                        , octane                    , CCCCCCCC                   , -4.6
"3,3-dimethylbutanone                                                                                                           ", CC(C(C)=O)(C)C                                    , octane                    , CCCCCCCC                   , -4.21
2-heptanone                                                                                                                      , CC(CCCCC)=O                                       , octane                    , CCCCCCCC                   , -5.25
methylacetate                                                                                                                    , COC(C)=O                                          , octane                    , CCCCCCCC                   , -3.06
methylpropanoate                                                                                                                 , COC(CC)=O                                         , octane                    , CCCCCCCC                   , -3.57
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , octane                    , CCCCCCCC                   , -3.48
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , octane                    , CCCCCCCC                   , -4.09
methylpentanoate                                                                                                                 , COC(CCCC)=O                                       , octane                    , CCCCCCCC                   , -4.86
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , octane                    , CCCCCCCC                   , -4.8
methylhexanoate                                                                                                                  , COC(CCCCC)=O                                      , octane                    , CCCCCCCC                   , -5.53
pentylacetate                                                                                                                    , C(CCCC)OC(C)=O                                    , octane                    , CCCCCCCC                   , -5.36
ethylamine                                                                                                                       , C(C)N                                             , octane                    , CCCCCCCC                   , -2.04
propylamine                                                                                                                      , C(CC)N                                            , octane                    , CCCCCCCC                   , -3.0
butylamine                                                                                                                       , C(CCC)N                                           , octane                    , CCCCCCCC                   , -3.44
diethylamine                                                                                                                     , C(C)NCC                                           , octane                    , CCCCCCCC                   , -3.42
2-methylpyrazine                                                                                                                 , CC1=NC=CN=C1                                      , octane                    , CCCCCCCC                   , -4.7
aniline                                                                                                                          , NC1=CC=CC=C1                                      , octane                    , CCCCCCCC                   , -4.84
1-nitropropane                                                                                                                   , [N+](=O)([O-])CCC                                 , octane                    , CCCCCCCC                   , -3.95
2-ethylpyrazine                                                                                                                  , C(C)C1=NC=CN=C1                                   , octane                    , CCCCCCCC                   , -5.51
2-methylaniline                                                                                                                  , CC1=C(N)C=CC=C1                                   , octane                    , CCCCCCCC                   , -6.06
3-methylaniline                                                                                                                  , CC=1C=C(N)C=CC1                                   , octane                    , CCCCCCCC                   , -6.15
4-methylaniline                                                                                                                  , CC1=CC=C(N)C=C1                                   , octane                    , CCCCCCCC                   , -6.0
methane                                                                                                                          , C                                                 , octanol                   , C(CCCCCCC)O                , 0.51
ethane                                                                                                                           , CC                                                , octanol                   , C(CCCCCCC)O                , -0.64
n-propane                                                                                                                        , CCC                                               , octanol                   , C(CCCCCCC)O                , -1.26
n-butane                                                                                                                         , CCCC                                              , octanol                   , C(CCCCCCC)O                , -1.86
n-pentane                                                                                                                        , CCCCC                                             , octanol                   , C(CCCCCCC)O                , -2.45
n-hexane                                                                                                                         , CCCCCC                                            , octanol                   , C(CCCCCCC)O                , -3.01
n-heptane                                                                                                                        , CCCCCCC                                           , octanol                   , C(CCCCCCC)O                , -3.74
n-octane                                                                                                                         , CCCCCCCC                                          , octanol                   , C(CCCCCCC)O                , -4.18
2-methylpropane                                                                                                                  , CC(C)C                                            , octanol                   , C(CCCCCCC)O                , -1.45
"2,2-dimethylpropane                                                                                                            ", CC(C)(C)C                                         , octanol                   , C(CCCCCCC)O                , -1.74
cyclopropane                                                                                                                     , C1CC1                                             , octanol                   , C(CCCCCCC)O                , -1.6
cyclopentane                                                                                                                     , C1CCCC1                                           , octanol                   , C(CCCCCCC)O                , -2.65
cyclohexane                                                                                                                      , C1CCCCC1                                          , octanol                   , C(CCCCCCC)O                , -3.46
methylcyclohexane                                                                                                                , CC1CCCCC1                                         , octanol                   , C(CCCCCCC)O                , -3.21
ethene                                                                                                                           , C=C                                               , octanol                   , C(CCCCCCC)O                , -0.27
propene                                                                                                                          , C=CC                                              , octanol                   , C(CCCCCCC)O                , -1.14
2-methylpropene                                                                                                                  , CC(=C)C                                           , octanol                   , C(CCCCCCC)O                , -2.03
1-butene                                                                                                                         , C=CCC                                             , octanol                   , C(CCCCCCC)O                , -1.89
1-hexene                                                                                                                         , C=CCCCC                                           , octanol                   , C(CCCCCCC)O                , -2.94
ethyne                                                                                                                           , C#C                                               , octanol                   , C(CCCCCCC)O                , -0.51
propyne                                                                                                                          , C#CC                                              , octanol                   , C(CCCCCCC)O                , -1.59
1-pentyne                                                                                                                        , C#CCCC                                            , octanol                   , C(CCCCCCC)O                , -2.79
1-hexyne                                                                                                                         , C#CCCCC                                           , octanol                   , C(CCCCCCC)O                , -3.43
benzene                                                                                                                          , C1=CC=CC=C1                                       , octanol                   , C(CCCCCCC)O                , -3.72
toluene                                                                                                                          , CC1=CC=CC=C1                                      , octanol                   , C(CCCCCCC)O                , -4.55
ethylbenzene                                                                                                                     , C(C)C1=CC=CC=C1                                   , octanol                   , C(CCCCCCC)O                , -5.08
o-xylene                                                                                                                         , C=1(C(=CC=CC1)C)C                                 , octanol                   , C(CCCCCCC)O                , -5.07
m-xylene                                                                                                                         , C1(=CC(=CC=C1)C)C                                 , octanol                   , C(CCCCCCC)O                , -5.25
p-xylene                                                                                                                         , C1(=CC=C(C=C1)C)C                                 , octanol                   , C(CCCCCCC)O                , -5.19
naphthalene                                                                                                                      , C1=CC=CC2=CC=CC=C12                               , octanol                   , C(CCCCCCC)O                , -6.97
anthracene                                                                                                                       , C1=CC=CC2=CC3=CC=CC=C3C=C12                       , octanol                   , C(CCCCCCC)O                , -10.47
methanol                                                                                                                         , CO                                                , octanol                   , C(CCCCCCC)O                , -3.87
ethanol                                                                                                                          , C(C)O                                             , octanol                   , C(CCCCCCC)O                , -4.36
"1,2-ethanediol                                                                                                                 ", C(CO)O                                            , octanol                   , C(CCCCCCC)O                , -7.44
1-propanol                                                                                                                       , C(CC)O                                            , octanol                   , C(CCCCCCC)O                , -5.02
isopropanol                                                                                                                      , C(C)(C)O                                          , octanol                   , C(CCCCCCC)O                , -4.62
1-butanol                                                                                                                        , C(CCC)O                                           , octanol                   , C(CCCCCCC)O                , -5.71
t-butanol                                                                                                                        , C(C)(C)(C)O                                       , octanol                   , C(CCCCCCC)O                , -4.78
1-pentanol                                                                                                                       , C(CCCC)O                                          , octanol                   , C(CCCCCCC)O                , -6.4
phenol                                                                                                                           , C1(=CC=CC=C1)O                                    , octanol                   , C(CCCCCCC)O                , -8.69
1-hexanol                                                                                                                        , C(CCCCC)O                                         , octanol                   , C(CCCCCCC)O                , -7.06
o-cresol                                                                                                                         , C1(=CC=CC=C1O)C                                   , octanol                   , C(CCCCCCC)O                , -8.49
m-cresol                                                                                                                         , C1=C(C=CC=C1O)C                                   , octanol                   , C(CCCCCCC)O                , -8.2
p-cresol                                                                                                                         , C1=CC(=CC=C1O)C                                   , octanol                   , C(CCCCCCC)O                , -8.84
1-heptanol                                                                                                                       , C(CCCCCC)O                                        , octanol                   , C(CCCCCCC)O                , -7.75
1-decanol                                                                                                                        , C(CCCCCCCCC)O                                     , octanol                   , C(CCCCCCC)O                , -9.88
dimethylether                                                                                                                    , COC                                               , octanol                   , C(CCCCCCC)O                , -2.06
tetrahydrofuran                                                                                                                  , O1CCCC1                                           , octanol                   , C(CCCCCCC)O                , -3.93
"1,4-dioxane                                                                                                                    ", O1CCOCC1                                          , octanol                   , C(CCCCCCC)O                , -4.89
diethylether                                                                                                                     , C(C)OCC                                           , octanol                   , C(CCCCCCC)O                , -2.89
methylpropylether                                                                                                                , COCCC                                             , octanol                   , C(CCCCCCC)O                , -3.63
methylisopropylether                                                                                                             , COC(C)C                                           , octanol                   , C(CCCCCCC)O                , -4.64
"1,2-dimethoxyethane                                                                                                            ", COCCOC                                            , octanol                   , C(CCCCCCC)O                , -4.55
t-butylmethylether                                                                                                               , C(C)(C)(C)OC                                      , octanol                   , C(CCCCCCC)O                , -3.49
anisole                                                                                                                          , C1(=CC=CC=C1)OC                                   , octanol                   , C(CCCCCCC)O                , -5.47
formaldehyde                                                                                                                     , C=O                                               , octanol                   , C(CCCCCCC)O                , -3.23
propanal                                                                                                                         , C(CC)=O                                           , octanol                   , C(CCCCCCC)O                , -4.13
butanal                                                                                                                          , C(CCC)=O                                          , octanol                   , C(CCCCCCC)O                , -4.62
benzaldehyde                                                                                                                     , C(C1=CC=CC=C1)=O                                  , octanol                   , C(CCCCCCC)O                , -6.13
acetone                                                                                                                          , CC(=O)C                                           , octanol                   , C(CCCCCCC)O                , -3.15
2-butanone                                                                                                                       , CC(CC)=O                                          , octanol                   , C(CCCCCCC)O                , -3.78
cyclopentanone                                                                                                                   , C1(CCCC1)=O                                       , octanol                   , C(CCCCCCC)O                , -5.01
2-pentanone                                                                                                                      , CC(CCC)=O                                         , octanol                   , C(CCCCCCC)O                , -4.35
3-pentanone                                                                                                                      , CCC(CC)=O                                         , octanol                   , C(CCCCCCC)O                , -4.36
2-hexanone                                                                                                                       , CC(CCCC)=O                                        , octanol                   , C(CCCCCCC)O                , -5.02
"3,3-dimethylbutanone                                                                                                           ", CC(C(C)=O)(C)C                                    , octanol                   , C(CCCCCCC)O                , -4.53
2-heptanone                                                                                                                      , CC(CCCCC)=O                                       , octanol                   , C(CCCCCCC)O                , -5.65
acetophenone                                                                                                                     , C(C)(=O)C1=CC=CC=C1                               , octanol                   , C(CCCCCCC)O                , -6.74
aceticacid                                                                                                                       , C(C)(=O)O                                         , octanol                   , C(CCCCCCC)O                , -6.35
propanoicacid                                                                                                                    , C(CC)(=O)O                                        , octanol                   , C(CCCCCCC)O                , -6.86
butanoicacid                                                                                                                     , C(CCC)(=O)O                                       , octanol                   , C(CCCCCCC)O                , -7.58
pentanoicacid                                                                                                                    , C(CCCC)(=O)O                                      , octanol                   , C(CCCCCCC)O                , -8.22
hexanoicacid                                                                                                                     , C(CCCCC)(=O)O                                     , octanol                   , C(CCCCCCC)O                , -8.82
methylformate                                                                                                                    , COC=O                                             , octanol                   , C(CCCCCCC)O                , -2.82
methylacetate                                                                                                                    , COC(C)=O                                          , octanol                   , C(CCCCCCC)O                , -3.54
methylpropanoate                                                                                                                 , COC(CC)=O                                         , octanol                   , C(CCCCCCC)O                , -4.06
ethylacetate                                                                                                                     , C(C)OC(C)=O                                       , octanol                   , C(CCCCCCC)O                , -4.06
methylbutanoate                                                                                                                  , COC(CCC)=O                                        , octanol                   , C(CCCCCCC)O                , -4.59
propylacetate                                                                                                                    , C(CC)OC(C)=O                                      , octanol                   , C(CCCCCCC)O                , -4.55
methylpentanoate                                                                                                                 , COC(CCCC)=O                                       , octanol                   , C(CCCCCCC)O                , -5.13
butylacetate                                                                                                                     , C(CCC)OC(C)=O                                     , octanol                   , C(CCCCCCC)O                , -4.96
ethylamine                                                                                                                       , C(C)N                                             , octanol                   , C(CCCCCCC)O                , -4.09
propylamine                                                                                                                      , C(CC)N                                            , octanol                   , C(CCCCCCC)O                , -4.77
trimethylamine                                                                                                                   , CN(C)C                                            , octanol                   , C(CCCCCCC)O                , -3.6
piperazine                                                                                                                       , N1CCNCC1                                          , octanol                   , C(CCCCCCC)O                , -5.8
butylamine                                                                                                                       , C(CCC)N                                           , octanol                   , C(CCCCCCC)O                , -5.33
diethylamine                                                                                                                     , C(C)NCC                                           , octanol                   , C(CCCCCCC)O                , -4.75
dipropylamine                                                                                                                    , C(CC)NCCC                                         , octanol                   , C(CCCCCCC)O                , -6.02
pyridine                                                                                                                         , N1=CC=CC=C1                                       , octanol                   , C(CCCCCCC)O                , -5.34
2-methylpyrazine                                                                                                                 , CC1=NC=CN=C1                                      , octanol                   , C(CCCCCCC)O                , -5.87
aniline                                                                                                                          , NC1=CC=CC=C1                                      , octanol                   , C(CCCCCCC)O                , -6.71
2-methylpyridine                                                                                                                 , CC1=NC=CC=C1                                      , octanol                   , C(CCCCCCC)O                , -6.14
3-methylpyridine                                                                                                                 , CC=1C=NC=CC1                                      , octanol                   , C(CCCCCCC)O                , -6.4
4-methylpyridine                                                                                                                 , CC1=CC=NC=C1                                      , octanol                   , C(CCCCCCC)O                , -6.6
N-methylaniline                                                                                                                  , CNC1=CC=CC=C1                                     , octanol                   , C(CCCCCCC)O                , -6.94
acetonitrile                                                                                                                     , C(C)#N                                            , octanol                   , C(CCCCCCC)O                , -3.15
propionitrile                                                                                                                    , C(CC)#N                                           , octanol                   , C(CCCCCCC)O                , -3.66
butanonitrile                                                                                                                    , C(CCC)#N                                          , octanol                   , C(CCCCCCC)O                , -4.25
benzonitrile                                                                                                                     , C(C1=CC=CC=C1)#N                                  , octanol                   , C(CCCCCCC)O                , -6.09
nitroethane                                                                                                                      , [N+](=O)([O-])CC                                  , octanol                   , C(CCCCCCC)O                , -3.93
1-nitropropane                                                                                                                   , [N+](=O)([O-])CCC                                 , octanol                   , C(CCCCCCC)O                , -4.44
2-nitropropane                                                                                                                   , [N+](=O)([O-])C(C)C                               , octanol                   , C(CCCCCCC)O                , -4.23
1-nitrobutane                                                                                                                    , [N+](=O)([O-])CCCC                                , octanol                   , C(CCCCCCC)O                , -5.11
nitrobenzene                                                                                                                     , [N+](=O)([O-])C1=CC=CC=C1                         , octanol                   , C(CCCCCCC)O                , -6.63
2-methyl-1-nitrobenzene                                                                                                          , CC1=C(C=CC=C1)[N+](=O)[O-]                        , octanol                   , C(CCCCCCC)O                , -6.8
1-propanethiol                                                                                                                   , C(CC)S                                            , octanol                   , C(CCCCCCC)O                , -3.52
thiophenol                                                                                                                       , C1(=CC=CC=C1)S                                    , octanol                   , C(CCCCCCC)O                , -5.99
dimethyldisulfide                                                                                                                , CSSC                                              , octanol                   , C(CCCCCCC)O                , -4.24
diethylsulfide                                                                                                                   , C(C)SCC                                           , octanol                   , C(CCCCCCC)O                , -4.09
thioanisole                                                                                                                      , C1(=CC=CC=C1)SC                                   , octanol                   , C(CCCCCCC)O                , -6.47
allylalcohol                                                                                                                     , C(C=C)O                                           , octanol                   , C(CCCCCCC)O                , -5.27
2-methoxyethanol                                                                                                                 , COCCO                                             , octanol                   , C(CCCCCCC)O                , -5.83
morpholine                                                                                                                       , N1CCOCC1                                          , octanol                   , C(CCCCCCC)O                , -5.99
m-hydroxybenzaldehyde                                                                                                            , OC=1C=C(C=O)C=CC1                                 , octanol                   , C(CCCCCCC)O                , -11.39
p-hydroxybenzaldehyde                                                                                                            , OC1=CC=C(C=O)C=C1                                 , octanol                   , C(CCCCCCC)O                , -12.36
3-ethyl-2-methoxypyrazine                                                                                                        , C(C)C=1C(=NC=CN1)OC                               , octanol                   , C(CCCCCCC)O                , -6.85
"1,1-difluoroethane                                                                                                             ", FC(C)F                                            , octanol                   , C(CCCCCCC)O                , -1.13
fluorobenzene                                                                                                                    , FC1=CC=CC=C1                                      , octanol                   , C(CCCCCCC)O                , -3.87
dichloromethane                                                                                                                  , ClCCl                                             , octanol                   , C(CCCCCCC)O                , -3.07
chloroform                                                                                                                       , C(Cl)(Cl)Cl                                       , octanol                   , C(CCCCCCC)O                , -3.81
